Term	Overlap	P-value	Adjusted P-value	minuslogQval	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ETV3_human_tf_ARCHS4_coexpression	66/299	0.00	0.02	1.81	0.00	0.00	-1.63	13.07	CSRNP1;IL1RN;CDKN1A;CD83;CXCL8;TNFAIP3;CXCL3;BACH1;CXCL2;ETS2;HK2;ICAM1;LACTB;GPR132;ZFP36;ARL5B;PNP;CCRL2;NFKBIZ;PDE4B;FLVCR2;MAP3K8;DUSP2;SERPINB2;PLAUR;EMP1;TNFRSF1B;RUNX3;IL1B;DNAJC5;NINJ1;MAPKAPK2;RAPGEF1;PELI1;MMP19;LCP2;PLEKHO2;ATF3;PFKFB3;SLC43A2;BCL2A1;INSIG1;PTGS2;SOCS3;ZNRF2;CHSY1;HLX;CD300LB;ZNF267;PLK3;GADD45B;VDR;LILRB1;LILRB2;KLF4;GPR137B;NR4A2;PTPRE;SPSB1;IL6;RGCC;BCL3;SNAI1;TNFSF9;FOSB;NFKBID
IKZF3_human_tf_ARCHS4_coexpression	67/299	0.00	0.01	1.97	0.00	0.00	-1.51	12.94	DENND1C;CIITA;TRAF3IP3;DOCK8;PIK3CD;LSP1;CD3E;ITGAL;LIMD2;FAM107B;GPR174;GPR132;SEPT6;PSD4;TAGAP;RAC2;TBC1D10C;TNFRSF8;DENND2D;DUSP2;FCRL5;SP110;PRKCB;SYTL1;TMC8;ANO9;RUNX3;HLA-E;APBB1IP;ZAP70;GVINP1;BANK1;PACS1;IRF4;LCK;IRF1;IGHD;CD48;LCP2;ZNF831;MS4A1;ZNF276;SLFN5;AKNA;ARHGAP15;LY9;CORO1A;RASGRP1;KIAA0040;IFI16;SPOCK2;FYN;SEMA4D;EDEM1;CARD8;GPR55;NFATC3;NFATC1;MCOLN2;ISG20;CD6;CD5;CD7;CCDC88C;PDCD1;IL7R;CD22
CUL4A_human_tf_ARCHS4_coexpression	67/299	0.00	0.01	1.97	0.00	0.00	-1.50	12.88	CLIC5;HSPB6;SETD7;INPPL1;ZDHHC7;MYPN;DUSP13;MYOM3;C10ORF71;XPO4;SLN;CA3;C6ORF106;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;MYOZ1;MYOZ2;CLUH;ACTN3;ACTN2;TPM3;S100A1;TPM2;GLP2R;SHISA4;ZFP91;SYPL2;DUSP27;ACTA1;OBSCN;PKM;TNNT1;MYOT;MYL2;TNNT3;ALPK3;FBP2;GTF3C1;PFKFB1;SNX33;GSPT1;TTN;CMYA5;NRAP;PACSIN3;MLEC;SMYD1;XIRP2;FLNC;SH3BGR;EIF4B;USP24;ICMT;AGL;ANKRD23;DUPD1;DES;NT5C1A;CARM1;SERBP1;HRC;TCAP;UBA2;ESYT1
SOX17_human_tf_ARCHS4_coexpression	66/299	0.00	0.02	1.81	0.00	0.00	-1.60	12.83	ROBO4;NRP2;FAM89A;FLT4;PTPRM;SLC2A3;LDB2;LRRC32;SIPA1L2;NPPB;SHE;EFEMP1;FAM162B;TNN;MMP28;KDR;AP1S2;RBPMS2;GYG2;SOX7;VWFP1;LEFTY1;VWF;DIO3;ATP11A;RHOB;MMP15;KIT;APLNR;ALPK3;ROR2;SHANK3;ITGA9;COLEC12;RASL12;NPR1;C2CD4B;MYCT1;GTF2IP4;S100A13;HAS2;FAM43A;LRIG3;GPC4;CYYR1;SASH1;TCEAL9;RPRM;JUN;RYK;AGL;FAM189A1;ARHGAP29;GNG11;KLF8;BMP2;RGCC;DLC1;DCHS1;TDRD10;RAB17;ADGRL4;TDGF1;LGR5;MIXL1;YPEL2
TSC22D3_human_tf_ARCHS4_coexpression	66/299	0.00	0.02	1.81	0.00	0.00	-1.59	12.75	DENND1C;CSRNP1;TRAF3IP3;DOCK8;LST1;TNFAIP3;PIK3CD;N4BP2L1;LSP1;ARRB2;CD3E;LIMD2;RASSF1;ZFP36;SEPT6;SCML4;PSD4;TAGAP;RAC2;TBC1D10C;JUNB;IER2;DENND2D;SP110;NFAM1;SYTL1;TMC8;FOS;HLA-E;APBB1IP;FGR;SIGIRR;ZAP70;HSH2D;LCK;IRF1;ADAM8;LCP2;ZNF276;AKNA;RGS14;KLRB1;CXCR4;CFP;ARHGAP15;LY9;CORO1A;ZFP36L2;ADGRG3;TESPA1;ICOS;S1PR4;C16ORF54;SEMA4D;TRAT1;CARD8;ABTB1;BST1;CD6;ATG16L2;SELL;P2RX1;CD7;CD69;IL7R;MYO1F
FOXP3_human_tf_ARCHS4_coexpression	66/299	0.00	0.02	1.81	0.00	0.00	-1.57	12.58	DENND1C;TRAF3IP3;DOCK8;TRAC;TNFAIP3;PIK3CD;LSP1;ARRB2;CD3E;ITGAL;IKZF3;CD3D;ETS1;LIMD2;GPR174;SEPT6;PSD4;TRBC1;TAGAP;RAC2;TBC1D10C;PIM2;JUNB;GBP5;LAG3;PHYKPL;SYTL1;TMC8;ANO9;PASK;TNFRSF1B;RUNX3;EML3;HLA-E;APBB1IP;SIGIRR;ZAP70;GVINP1;PACS1;LCK;IRF1;CD48;LCP2;ZNF831;ZNF276;AKNA;RGS14;SH2D2A;KCNA3;CORO1A;RASGRP1;TESPA1;SPOCK2;FYN;ICOS;S1PR4;APOL3;SEMA4D;TRAT1;NFATC1;ISG20;CD6;CD5;CD7;CCDC88C;IL7R
HAND1_human_tf_ARCHS4_coexpression	66/299	0.00	0.02	1.81	0.00	0.00	-1.51	12.12	PNMT;FAM89A;LAMC1;LRRC32;SIPA1L2;WISP1;RGS5;PTBP1;AP1S2;RBPMS2;LMCD1;CKAP4;MYL4;SLC7A4;CLDN6;HIC2;MMP15;RAB34;APLNR;SLC27A6;ALPK2;KDELR3;KCTD12;PHLDB2;MDFI;KANK4;CRB2;COLEC12;ISYNA1;PKDCC;MYRF;MAGED1;GATA5;FIGNL2;LYPD6;MCHR1;NID2;ART4;EGFLAM;PES1;COBLL1;TBX20;GPC3;ARSI;NAALAD2;HAS2;CILP2;SLIT3;CKB;MEST;TCEAL9;CD276;AFAP1L2;ARHGAP28;COL3A1;BMP2;FRAS1;TMEM98;CILP;AC104532.2;MFAP2;AMOTL1;LGR5;PRRT4;FGFR2;CDK16
KLF6_human_tf_ARCHS4_coexpression	65/299	0.00	0.02	1.64	0.00	0.00	-1.59	11.94	DENND1C;CSRNP1;BTG2;CIITA;CD83;DOCK8;LST1;TNFAIP3;PIK3CD;N4BP2L1;LSP1;ITGAL;ETS1;RASSF1;ZFP36;SCML4;PSD4;NFKBIZ;CASP4;TAGAP;RAC2;TBC1D10C;MAP3K8;LRRFIP1;JUNB;IER2;MYLIP;SP110;PHYKPL;SYTL1;THEMIS;TMC8;RUNX3;HLA-E;APBB1IP;ZAP70;GVINP1;IRF1;PELI1;LCP2;ATF3;SLFN5;AKNA;KLRB1;CXCR4;SAMHD1;ZFP36L1;ICOS;APOL3;C16ORF54;PLK3;JUN;JUND;GADD45B;TRAT1;KLF4;NR4A2;PTPRE;NR4A1;RGCC;P2RX1;CCDC88C;FOSB;CD69;IL7R
SOX18_human_tf_ARCHS4_coexpression	65/299	0.00	0.02	1.64	0.00	0.00	-1.57	11.78	CLIC5;ROBO4;HSPB6;FAM89A;FLT4;PTPRM;ADIRF;LRRC32;CHRDL1;LIPE;SHE;NDST1;EFEMP1;C1QTNF1;GPER1;MMP28;KDR;SYNPO;PRKACA;SOX7;CD34;VWFP1;S100A1;ADIPOQ;RHOB;PROCR;MMRN1;MYL2;GPD1;APLNR;PLIN1;ERG;SHANK3;ENG;EPAS1;NPR1;C2CD4B;CRIP2;GDPD5;AKAP2;MYCT1;CLEC3B;CYB5R3;FAM43A;GAS2L1;CD300LG;SASH1;AOC3;JUN;DMPK;CIDEA;ARHGAP29;GNG11;CIDEC;SMOC2;EHD4;RGCC;LEP;NFIC;DLC1;HRC;NUCB1;TCAP;DCHS1;ADGRL4
NR1D2_human_tf_ARCHS4_coexpression	65/299	0.00	0.02	1.64	0.00	0.00	-1.54	11.56	CLIC5;SYNM;SETD7;MYPN;DUSP13;MYOM3;PPP3CB;C10ORF71;XPO4;MPRIP;SLN;CA3;C6ORF106;CFL2;CAPN3;SPEG;KPNA4;SYNPO;MYOZ1;SCN1B;ACTN2;CACNA2D1;TPM2;SHISA4;ZFP91;ATP11B;SYPL2;DUSP27;OBSCN;RALGAPB;TNNT1;MYOT;MYL2;TNNT3;ALPK3;OPTN;FBP2;PFKFB1;SYNPO2;TTN;ABLIM2;RMND5A;TNKS2;CMYA5;NRAP;PACSIN3;SMYD1;XIRP2;MAP4;EIF4B;USP24;TMEM30A;ABCA5;SORT1;FEM1B;AGL;ANKRD23;SAMD4A;DUPD1;SLMAP;NT5C1A;NEURL1;TCAP;STRN;YPEL2
TBX5_human_tf_ARCHS4_coexpression	65/299	0.00	0.02	1.64	0.00	0.00	-1.54	11.56	IFITM3;SH2D4A;MRGPRF;PTPRM;TCF21;PTPN21;LAMC1;PQLC2L;FGF5;GPR176;ADAMTS1;NPPA;BDKRB2;COL10A1;QSOX1;PGM5;MYOZ2;PDGFRB;OSR2;COPZ2;CKAP4;KIAA1217;MYL4;SFRP1;FRMD6;LOX;SYNPO2L;TNNT2;TRNP1;ALPK2;MASP1;KDELR3;MFGE8;MYH6;POPDC2;CEMIP;LRP1;EPAS1;LRRC17;TWIST2;TRHDE;NID2;AKAP2;GPC1;TBX20;SLIT3;MAP4;FLNC;GALNT5;DMPK;BDNF;PRRX2;ADAM33;SAMD4A;CYBRD1;ZNF300P1;TBX18;COL1A1;COL3A1;FABP3;DLC1;MFAP2;CALU;HRC;MKX
OSR1_human_tf_ARCHS4_coexpression	65/299	0.00	0.02	1.64	0.00	0.00	-1.54	11.53	SRPX;HSPB6;LAMC1;LRRC32;PRSS23;TRIOBP;WISP1;TMEM187;WISP2;LGALS3;C1QTNF1;ADAMTS1;SMPD1;BDKRB2;QSOX1;PDGFRB;OSR2;COPZ2;EMP1;SLC39A13;JOSD2;OSMR;CKAP4;FRMD6;LOX;RAB34;NUPR1;KDELR3;MFGE8;KANK4;MATN2;CD63;CEMIP;PKDCC;LRP1;LRRC17;TWIST2;ASAP3;SNX33;NID2;DPP4;CLEC3B;CYB5R3;GPC1;TSPAN4;FAM180A;SH3BP4;SLIT3;OXCT2;RABAC1;PDLIM7;GALNT5;AHNAK2;ADAM33;CYBRD1;APOBR;TBX18;COL1A1;COL3A1;SPSB1;P4HA2;NFIC;AC104532.2;MFAP2;VIM
ZNF831_human_tf_ARCHS4_coexpression	65/299	0.00	0.02	1.64	0.00	0.00	-1.51	11.29	DENND1C;TRAF3IP3;DOCK8;PRF1;PIK3CD;PTPRJ;LSP1;ARRB2;CD3E;ITGAL;IKZF3;CD3D;ETS1;LIMD2;GPR174;DOCK11;SCML4;PSD4;TRBC1;TAGAP;RAC2;TBC1D10C;CASP1;JUNB;DENND2D;SP110;SYTL1;TMC8;ARHGEF18;PASK;TC2N;RUNX3;DGKZ;EML3;HLA-E;APBB1IP;ITPKB;FGR;SIGIRR;ZAP70;GVINP1;PACS1;LCK;CD48;LCP2;ZNF276;SLFN5;RGS14;KCNA3;SAMHD1;CORO1A;RASGRP1;SPOCK2;FYN;S1PR4;SLAMF1;SEMA4D;CARD8;CD6;SELL;CD5;CD7;CCDC88C;IL7R;MYO1F
ARNTL_human_tf_ARCHS4_coexpression	64/299	0.00	0.03	1.50	0.00	0.00	-1.55	10.82	DENND1C;TRAF3IP3;DOCK8;LST1;TNFAIP3;PIK3CD;PTPRJ;LSP1;ARRB2;CD3E;ITGAL;ETS1;LIMD2;ZFP36;PSD4;CASP4;TAGAP;RAC2;TBC1D10C;CASP1;FFAR2;DENND2D;NFAM1;TMC8;TNFRSF1B;RUNX3;HLA-E;APBB1IP;CEACAM3;FGR;ZAP70;GVINP1;IRF1;RAPGEF1;ADAM8;LCP2;ZNF831;AKNA;RGS14;KLRB1;FPR1;FAM129A;NCF1B;CSF2RB;CFP;CORO1A;ADGRG3;APOL6;SPOCK2;CHST15;CD300LB;ZNF267;SEMA4D;CARD8;APOBR;ABTB1;CD6;VNN2;ATG16L2;CD5;CD7;MXD1;IL7R;MYO1F
SP110_human_tf_ARCHS4_coexpression	64/299	0.00	0.03	1.50	0.00	0.00	-1.54	10.75	DENND1C;TRAF3IP3;DOCK8;LST1;PIK3CD;PTPRJ;LSP1;ARRB2;CD3E;ITGAL;IKZF3;ETS1;LIMD2;PSD4;CASP4;TAGAP;RAC2;TBC1D10C;CASP1;FFAR2;DENND2D;GBP5;NFAM1;TMC8;TNFRSF1B;RUNX3;HLA-E;APBB1IP;CEACAM3;FGR;GVINP1;BANK1;IRF1;CD48;ADAM8;LCP2;AKNA;FPR1;FAM129A;NCF1B;CSF2RB;CFP;ARHGAP15;SAMHD1;CORO1A;KIAA0040;LILRA5;APOL6;IFI16;S1PR4;APOL3;GCA;SEMA4D;CARD8;LILRB2;ISG20;ABTB1;VNN2;ATG16L2;SELL;ALOX5AP;MXD1;IL7R;MYO1F
MSC_human_tf_ARCHS4_coexpression	64/299	0.00	0.03	1.50	0.00	0.00	-1.53	10.71	IL1RN;CDKN1A;CD83;CXCL8;CXCL3;CXCL2;ICAM1;ABHD12;LACTB;GPR132;FCGRT;CCRL2;FLVCR2;TNFRSF8;SLC39A8;ACP2;CTSD;ABCD1;CTSB;DUSP2;SERPINB2;VPS37C;PLAUR;TNFRSF1B;RUNX3;MMP9;OSCAR;NPC2;IRF4;IL1B;NINJ1;MAPKAPK2;RAPGEF1;MMP19;CHMP4B;PLEKHO2;ATF3;ENG;GRN;PFKFB3;SLC43A2;BCL2A1;INSIG1;PTGS2;SOCS3;ZNRF2;CCL8;HLX;TSPAN4;CCL2;SLAMF1;GADD45B;OSGIN1;NR1H3;LILRB1;LILRB2;MCOLN2;GPR137B;LACC1;SPSB1;EHD4;BCL3;TNFSF9;LGMN
BATF_human_tf_ARCHS4_coexpression	64/299	0.00	0.03	1.50	0.00	0.00	-1.52	10.62	IL1RN;CD83;TRAC;TNFAIP3;PIK3CD;LSP1;IKZF3;CD3D;ICAM1;LACTB;GPR132;FCGRT;TRBC1;CASP4;RAC2;FLVCR2;TNFRSF8;MAP3K8;PIM2;ABCD1;BATF3;DUSP2;LAG3;SERPINB2;SP110;PLAUR;TNFRSF1B;RUNX3;HLA-E;OSCAR;IRF1;NINJ1;MAPKAPK2;MMP19;CHMP4B;CD48;LCP2;GRN;PFKFB3;SLC43A2;BCL2A1;SH2D2A;SOCS3;DPP7;TESPA1;HLX;CCL5;CCL4;ICOS;SLAMF1;PLK3;GADD45B;LILRB1;LILRB2;MCOLN2;GPR137B;CD2;ISG20;EHD4;CD6;CD5;BCL3;TNFSF9;PTPN7
ZBP1_human_tf_ARCHS4_coexpression	64/299	0.00	0.03	1.50	0.00	0.00	-1.49	10.43	DENND1C;DOCK8;LST1;PRF1;DYSF;PIK3CD;LSP1;ARRB2;ITGAL;IKZF3;LIMD2;PSD4;CASP4;TAGAP;RAC2;TBC1D10C;CASP1;GBP5;SP110;IL1R2;NFAM1;SYTL1;SHISA5;TMC8;TNFRSF1B;HLA-E;OSCAR;CEACAM3;APBB1IP;FGR;ZAP70;HSH2D;GVINP1;IRF1;ADAM8;LCP2;ZNF276;AKNA;RGS14;FPR1;NCF1B;CSF2RB;CFP;CORO1A;KIAA0040;LILRA5;ADGRG3;APOL6;C10ORF105;CHST15;S1PR4;NTNG2;GCA;SEMA4D;CARD8;LILRB2;ISG20;ABTB1;BST1;VNN2;ATG16L2;SELL;MXD1;MYO1F
ETS2_human_tf_ARCHS4_coexpression	64/299	0.00	0.03	1.50	0.00	0.00	-1.49	10.41	CSRNP1;LAD1;IL1RN;CXCL8;CXCL3;CXCL2;ICAM1;FCGRT;SLCO2B1;CCRL2;NFKBIZ;FLVCR2;SDF4;SLC39A8;MAP3K8;SCARF1;CD34;SERPINB2;IGHV3-74;PLAUR;ANXA11;TBC1D2B;TNFRSF1B;EML3;IL1B;KCNQ1;NINJ1;MAPKAPK2;RAPGEF1;MMP19;CHMP4B;LCP2;ATF3;ERGIC1;GRN;PFKFB3;CEBPD;EPAS1;MVP;SLC38A10;PTGS2;HSD17B11;SOCS3;ZNRF2;TSPAN8;OS9;TMEM127;HLX;STOM;RILP;IGHA2;GBP3;NFE2;VDR;KLF4;PTPRE;SPSB1;RGCC;KLF5;P2RX1;BCL3;MGAT4B;NUCB1;ENGASE
ZBTB16_human_tf_ARCHS4_coexpression	63/299	0.00	0.05	1.34	0.00	0.00	-1.59	10.31	CLIC5;SYNM;MTRNR2L1;N4BP2L2;ABRA;MYPN;MYOM3;KBTBD12;ZFP36;C10ORF71;SLN;CA3;HMCN2;CAPN3;SPEG;MYOZ3;PGM5;ANKRD2;SYNPO;MYOZ1;LMCD1;MYOZ2;ACTN2;STARD9;FOS;DUSP27;SPTB;F8;OBSCN;TNNT1;MYOT;MYL2;TNNT3;PTGES3L;ALPK3;C9ORF3;PKHD1L1;FBP2;FKBP5;ITGA9;PFKFB1;KLRB1;SYNPO2;PRSS42;TTN;KIAA1328;CMYA5;NRAP;SMYD1;XIRP2;DMD;HOMER2;ANKRD23;ABCA9;DUPD1;ABCA8;SMOC2;NR4A1;DES;SLMAP;NT5C1A;HRC;TCAP
NFE2L2_human_tf_ARCHS4_coexpression	64/299	0.00	0.03	1.50	0.00	0.00	-1.47	10.27	IL1RN;CDKN1A;CD83;CXCL8;HEXA;CTNND1;CXCL3;NR3C1;CXCL2;WFDC2;ETS2;LACTB;FCGRT;CCRL2;FLVCR2;CTSD;ABCD1;CTSB;SERPINB2;ATP6V0E1;VPS37C;PLAUR;EMP1;ANXA11;ANO6;OSMR;NPC2;IL1B;KCNQ1;NINJ1;MAPKAPK2;MMP19;CHMP4B;PLEKHO2;ATF3;ENG;GRN;PFKFB3;SLC43A2;BCL2A1;EPAS1;INSIG1;MVP;ARHGAP18;ZC3HAV1;PTGS2;SOCS3;APOL6;TMEM127;TSPAN4;STOM;CCL2;ZNF267;GBP3;OSGIN1;LILRB2;GPR137B;LACC1;SPSB1;KLF5;DHRS9;BCL3;NUCB1;LGMN
KLF4_human_tf_ARCHS4_coexpression	63/299	0.00	0.05	1.34	0.00	0.00	-1.55	10.07	CSRNP1;LAD1;ST6GALNAC1;CIITA;CD83;CLTB;ZDHHC7;ZDHHC3;ETS2;LGALS2;ZFP36;PNP;VSIG2;NFKBIZ;CA4;MAP3K8;JUNB;KLF10;SRGN;KLF11;MYLIP;EMP1;ARHGEF18;ANXA11;FOS;RHOB;CEACAM1;KCNQ1;MAPKAPK2;CHMP4B;SIK1;ATF3;GRN;SLC26A2;PFKFB3;CEBPD;EPAS1;MVP;MST1R;CFP;SAMHD1;HSD11B2;SOCS3;NEU4;TSPAN8;TMEM127;CD300LB;PLK3;JUN;JUND;GADD45B;VDR;CYBRD1;NR4A2;PTPRE;NR4A1;RGCC;KLF5;TMEM54;BCL3;SNAI1;ENGASE;YPEL2
TFE3_human_tf_ARCHS4_coexpression	64/299	0.00	0.03	1.50	0.00	0.00	-1.43	10.01	WDR1;INPPL1;ZDHHC7;ARRB2;SMG5;NDST1;FCGRT;PPP6R1;SDF4;PRKACA;ABCD1;NFAM1;ITPK1;VPS37C;ARHGEF18;ANXA11;SLC39A13;TBC1D2B;TNFRSF1B;EML3;HLA-E;OSCAR;CEACAM3;PACS1;DNAJC5;MAPKAPK2;RAPGEF1;ERF;CHMP4B;ADAM8;PLEKHO2;TKT;STK40;ERGIC1;ENG;GRN;LRP1;WBP2;MVP;FPR1;SLC38A10;CSF2RB;FAM214B;ADD1;ADGRG3;APH1A;OS9;TMEM127;NACC2;NACC1;CHST15;TSPAN4;GAS2L1;YKT6;PDLIM7;WDTC1;DENND4B;LILRB2;ABTB1;SH3BP5L;BCL3;MGAT4B;NUCB1;MYO1F
ID1_human_tf_ARCHS4_coexpression	64/299	0.00	0.03	1.50	0.00	0.00	-1.43	9.99	B4GALT2;LAD1;CHPF;CTNND1;CLTB;LAMC1;PVR;PTPRF;SMG5;NDST1;PTBP1;BAIAP2L1;DAG1;SDF4;CLUH;PCYT2;USP5;RIPK4;ATAD3A;POR;PKM;SPINT1;MMP15;RAB34;TRNP1;ERF;TKT;TNFRSF21;PTGES;LLGL2;SLC27A4;CERS2;GTF3C1;CUL7;AHCY;PKDCC;IER5L;MST1R;SNX33;SLC1A5;FAM83G;IRAK1;PES1;NACC1;S100A13;TSPAN4;PACSIN3;MLEC;PLXNA1;PLEK2;YKT6;CTC1;ICMT;PTGES2;FZD6;HMGA1;NET1;KLF5;TMEM54;GIPC1;MGAT4B;NUCB1;FGFR4;CDK16
SORBS2_human_tf_ARCHS4_coexpression	63/299	0.00	0.05	1.34	0.00	0.00	-1.50	9.72	PTPRM;PTPN21;SIPA1L2;PPP1R9A;SLC4A3;RASGEF1B;NPPA;KIF21A;PGM5;MYOZ2;RALGPS1;MAGI1;RBFOX2;ACTN2;CACNA2D1;MAGI2;SOX11;SSTR2;DUSP27;TANC2;MYL4;ENAH;SYNPO2L;MMP15;MYL2;TNNT2;SLC27A6;PXYLP1;ALPK3;ALPK2;UBE2Q2P2;MYH6;POPDC2;MACF1;NEXN;CRIP2;NREP;PRSS44;PRSS42;TBX20;SMYD1;DMD;NCAM1;SRGAP3;PAK3;HDX;CADM1;ST8SIA2;NTRK3;ABCA9;PPP2R3A;MAPK10;FABP3;CSDC2;NFIB;RCAN2;ZNF737;HRC;TCF4;SLC26A4;PAM;ZNF532;HCN1
LEF1_human_tf_ARCHS4_coexpression	63/299	0.00	0.05	1.34	0.00	0.00	-1.49	9.68	DENND1C;EPHB6;TRAF3IP3;DOCK8;TRAC;PIK3CD;CD3E;ITGAL;IKZF3;CD3D;ETS1;LIMD2;GPR174;DOCK11;SEPT6;PPP6R1;PSD4;TRBC1;TAGAP;RAC2;TBC1D10C;DENND2D;THEMIS;TMC8;ARHGEF18;ATP11B;PASK;EML3;HLA-E;CDC25B;APBB1IP;ITPKB;ZAP70;GVINP1;PACS1;LCK;CD48;LCP2;ZNF831;ZNF276;SLFN5;POM121;NOTCH1;AKNA;KCNA3;DTX1;CD1E;CORO1A;RASGRP1;IFI16;SPOCK2;FYN;S1PR4;DENND4B;SEMA4D;TRAT1;EDEM1;NFATC3;CD6;CD5;CD7;CCDC88C;IL7R
NKX2-5_human_tf_ARCHS4_coexpression	63/299	0.00	0.05	1.34	0.00	0.00	-1.48	9.58	MRPS12;PTPN21;EMC10;SIPA1L2;SLC4A3;SMG5;NPPB;NPPA;SPEG;MYBL2;NRTN;PGM5;CCHCR1;MYOZ2;MEF2A;CLUH;ACTN2;ATAD3A;DUSP27;EPN1;MYL4;OBSCN;SMO;SYNPO2L;MMP15;RPUSD1;MYL2;TNNT2;SLC27A6;ALPK3;ALPK2;ITGB1BP2;MYH6;ATPAF1;POPDC2;GTF3C1;FOXC1;NEXN;CRIP2;PRSS44;PRSS42;TTN;INPP5A;IRAK1;GPC1;PES1;TBX20;SMYD1;FLNC;ICMT;DMPK;NAA10;COL22A1;SAMD4A;TBX18;FABP3;DES;ARMC10;CSDC2;UBE2S;HRC;TCAP;CDK16
FBN1_human_tf_ARCHS4_coexpression	63/299	0.00	0.05	1.34	0.00	0.00	-1.46	9.47	SRPX;NRP1;TRIO;CHPF;ELN;MRGPRF;PTPRM;LAMC1;LRRC32;PRSS23;WISP1;NDST1;ADAMTS5;GPR176;ADAMTS1;QSOX1;PDGFRB;POSTN;TPM2;OSR1;COPZ2;PDCD1LG2;OSMR;CKAP4;FRMD6;LOX;ALPK2;KDELR3;MFGE8;LRRC15;MEGF6;CEMIP;SEC23A;LRP1;SEMA3C;LRRC17;TWIST2;SNX33;NID2;AKAP2;GPC1;TSPAN4;FAM180A;SH3BP4;SLIT3;MAP4;FLNC;SASH1;PDLIM7;GALNT5;AHNAK2;PRRX2;ADAM33;CYBRD1;COL1A1;COL3A1;P4HA2;DLC1;ITGA11;CALU;PTX3;MKX;TGFBI
ATOH8_human_tf_ARCHS4_coexpression	63/299	0.00	0.05	1.34	0.00	0.00	-1.44	9.36	CLIC5;CHPF;HSPB6;ELN;MRGPRF;PTPRM;PTPN21;LAMC1;LRRC32;CHRDL1;NDST1;C1QTNF1;MPRIP;ADAMTS1;SPEG;SYNPO;PRKACA;SH3D19;PDGFRB;TPM2;COPZ2;SHISA4;OLIG1;CKAP4;RHOB;MRAS;LOX;SMO;COL4A4;GPD1;PLIN1;CUEDC1;ENG;LRRC15;ADCYAP1R1;MEGF6;LRP1;EPAS1;ADH1B;NPR1;TWIST2;SNX33;ADD1;CLEC3B;CYB5R3;NACC2;GPC1;TSPAN4;SLIT3;MAP4;FLNC;SASH1;AOC3;DMPK;PRRX2;SAMD4A;CYBRD1;ABCA8;SMOC2;NFIC;DLC1;NUCB1;AMOTL1
PRDM1_human_tf_ARCHS4_coexpression	62/299	0.00	0.07	1.17	0.00	0.00	-1.53	9.18	TRAF3IP3;CD83;CCL4L2;DOCK8;PRF1;TNFAIP3;CD3E;ITGAL;IKZF3;CD3D;GPR174;GPR132;GNLY;TRBC1;CCRL2;NFKBIZ;CASP1;PIM2;GBP5;DUSP2;LAG3;SP110;APOA4;TNFRSF1B;RUNX3;HLA-E;GVINP1;CD8A;LCK;IRF1;CD48;LCP2;SLFN5;BCL2A1;SH2D2A;CXCR6;CST7;APOL6;IFI16;IGLV2-14;CCL5;CCL4;ST8SIA4;S1PR2;ZNF267;SEMA4A;EGR2;TNFSF14;SEMA4D;EDEM1;GZMA;CD2;ISG20;NR4A2;ID2;ALOX5AP;CD27;FAS;PTPN7;HPSE;IL7R;NFKBID
NR4A3_human_tf_ARCHS4_coexpression	62/299	0.00	0.07	1.17	0.00	0.00	-1.49	8.94	CSRNP1;IL1RN;BTG2;CDKN1A;CD83;CXCL8;TNFAIP3;CXCL3;CXCL2;ETS2;ICAM1;LACTB;GPR132;ZFP36;ARL5B;CCRL2;NFKBIZ;SLC16A6;PDE4B;FLVCR2;MAP3K8;JUNB;DUSP2;PLAUR;RUNX3;IL1B;NINJ1;MAPKAPK2;RAPGEF1;MMP19;IRF8;LCP2;ATF3;PFKFB3;BCL2A1;INSIG1;PTGS2;SOCS3;NEU4;HLX;ZNF267;SLC25A25;PLK3;EGR2;EGR3;CCL22;GADD45B;KLF4;MCOLN2;GPR137B;NR4A2;ISG20;PTPRE;NR4A1;SPSB1;IL6;RGCC;BCL3;SNAI1;TNFSF9;FOSB;NFKBID
TBX21_human_tf_ARCHS4_coexpression	61/299	0.00	0.10	1.01	0.00	0.00	-1.57	8.72	DENND1C;TRAF3IP3;DOCK8;PRF1;PIK3CD;LSP1;ARRB2;CD3E;ITGAL;ETS1;LIMD2;RASSF1;IL18RAP;GNLY;SMPD1;PSD4;RAC2;TBC1D10C;DENND2D;NFAM1;SYTL1;TMC8;TNFRSF1B;RUNX3;HLA-E;C1ORF122;APBB1IP;CEACAM3;FGR;ZAP70;RPL3P7;CD8A;H3F3AP6;IRF1;CD48;ADAM8;LCP2;ZNF276;SLFN5;AKNA;RGS14;SH2D2A;CORO1A;RASGRP1;POLD4;SERTAD1;SVBP;CCL5;SLAMF6;S1PR4;TNFSF14;DENND4B;SEMA4D;CD2;ABTB1;CD6;CD7;CCDC88C;TADA3;ALOX5AP;MYO1F
